start_id,syndrome_name,syndrome_element,main_complain,main_symptom
241,营卫不和,['营卫不和'],"['自汗', '阵发性发热汗出']","['阵发性发热汗出', '自汗', '脉缓']"
241,脾伤气滞，络瘀较甚，或兼有邪实,"['血瘀', '气滞']",['腹痛拒按'],"['腹胀', '腹痛']"
23,心阳不足，心失所养,['虚'],['心悸'],"['心悸', '心悸喜按']"
27,心阴阳两虚,['虚'],['心动悸'],"['心动悸', '脉结代']"
34,阴阳两伤，肌肤失温，筋脉失养,['虚'],['脚挛急'],"['恶寒', '脚挛急']"
35,血虚寒厥，血脉不畅,['虚'],['手足厥冷'],"['脉细弱', '手足厥冷']"
37,阳气暴虚，阴寒内盛,['虚'],['烦躁夜静'],"['脉沉微', '烦躁夜静']"
76,阴盛阳衰证,['虚'],,"['畏寒', '手足厥冷', '脉沉细']"
122,下元不固，滑脱不禁,['虚'],['泄泻'],['利下不止']
27,上焦心阳不足，下焦寒饮欲动,"['虚', '水饮']",['脐下悸'],"['小便不利', '脐下悸']"
62,阳虚水泛证,"['虚', '水饮']",,"['身振颤', '眩晕', '小便不利']"
111,心阳亏虚，下焦阴寒，乘虚上逆,"['虚', '水饮']",['心悸'],"['苔水滑', '心动悸', '气上冲']"
120,脾虚水停，谁气上冲,"['虚', '水饮']",['头晕'],"['起即头眩', '气上冲']"
239,热扰胸膈兼中焦虚寒,"['虚', '热']","['心中懊', '便溏']","['心中懊', '泄泻']"
23,脾虚失运，气滞络瘀,"['虚', '气滞']",['腹痛'],"['腹满时痛', '食欲减退']"
110,脾气虚弱，运化失健，气机阻滞,"['虚', '气滞']",['腹胀'],"['腹按之濡', '腹胀']"
21,心阳虚弱，心神不敛,"['虚', '寒']",['心悸'],"['不寐', '心悸', '烦躁', '脉沉迟']"
21,心阳亏虚，心神不敛，复被痰扰,"['虚', '寒']","['心悸', '惊狂']","['发狂', '坐卧不安', '心悸', '惊恐']"
21,中焦脾虚，气血不足，复被邪扰,"['虚', '寒']","['腹痛', '心悸']","['腹痛', '心悸', '腹急痛', '烦躁']"
22,阳气不足,"['虚', '寒']","['手足厥冷', '烦躁']","['手足厥冷', '呕吐']"
44,脾肾阳虚，大肠滑脱,"['虚', '寒']","['利下不止', '便脓血']","['便脓血', '苔白', '手足冷', '利下不止']"
77,吐利交作，亡阳脱液,"['虚', '寒']",['频繁吐利后利止'],"['畏寒', '频繁吐利后利止', '脉微']"
108,胃中虚寒，浊阴上逆,"['虚', '寒']","['呕吐', '头痛']","['头痛', '呕吐', '手足厥冷']"
238,中焦脾虚，气血不足，复被邪扰,"['虚', '寒']","['腹痛', '心悸']","['心悸', '腹急痛', '烦躁', '腹痛']"
23,脾阳虚弱，寒湿内阻，表邪不解,"['虚', '表']","['泄泻', '近期外感']","['心下痞', '泄泻', '发热', '利下不止']"
113,卫阳不固，阴津不足，兼表证不解,"['虚', '表']","['漏汗', '自汗', '恶寒']","['恶风', '自汗', '漏汗']"
113,营卫不和，气营不足，筋脉失养,"['虚', '表']",['身痛'],"['脉沉迟', '身痛']"
87,痰热互结，正在心下,"['痰', '热']",['心下痞硬'],"['少腹满', '胃按则痛']"
27,胃阳不足，水气中焦,['水饮'],['眩晕'],"['眩晕', '心悸']"
81,水饮停于胸胁，气机升降不利,['水饮'],"['心下痞硬', '胁痛']",['短气']
241,胃阳不足，水停中焦,['水饮'],['眩晕'],"['眩晕', '心悸']"
81,水热互结于胸胁,"['水饮', '热']",['腹痛拒按'],"['口渴', '烦躁', '心下痞硬']"
98,少阳病枢机不利，兼水饮内结,"['水饮', '气滞', '热']",['便溏'],"['口渴', '寒热往来', '头汗', '胸胁苦满']"
113,风寒束表，水饮内停,"['水饮', '表']",['咳嗽'],"['发热', '咳嗽']"
28,阳明热实，燥屎内结,"['实', '热']",['便秘'],"['便秘', '腹痛', '午后潮热', '大便不通']"
34,津亏肠燥证,"['实', '热']","['大便干', '便秘']","['便秘', '大便干']"
96,少阳胆火内郁，兼阳明燥热里实,"['实', '热', '气滞']","['便秘', '口苦']","['胸胁苦满', '大便不通', '寒热往来', '下利不爽']"
124,少阳兼阳明里实，燥实较轻，正气偏虚,"['实', '热', '气滞']",['便秘'],"['便秘', '下后微利', '胸胁苦满']"
79,寒水痰实，结于胸膈,"['实', '寒', '水饮']",['心下痞硬'],"['心下痞硬', '胸闷', '胃脘痛']"
121,湿热郁积营卫,['湿热'],['肉上粟起'],"['发热', '肉上粟起', '烦躁']"
22,湿热发黄，热重于湿，壅滞三焦,"['湿热', '湿', '热']","['身黄', '发热']","['发热', '身黄']"
104,湿热蕴结，熏蒸肝胆，腹气壅滞,"['湿热', '湿', '热']","['身黄', '目黄']","['白睛发黄', '发热', '身黄']"
81,痰实壅阻胸膈,['湿'],['胸闷'],"['气上冲', '寸脉浮']"
21,风寒湿邪，痹着于肌表,"['湿', '虚', '寒', '表']",['关节烦痛'],"['关节烦痛', '身重', '关节痛']"
125,阳虚表湿,"['湿', '虚', '表']",['身痛'],"['身重', '无汗']"
70,少阴阳虚，寒湿凝滞,"['湿', '寒湿', '虚', '寒']","['背寒', '手足冷']","['关节痛', '背寒', '手足冷', '关节掣痛拒按', '脉沉']"
237,风湿相搏证,"['湿', '表']",,"['关节烦痛', '身重', '不得屈伸', '恶寒']"
21,热郁胸膈,['热'],"['心中懊', '烦躁']","['不寐', '心中懊', '烦躁']"
21,热扰胸膈兼胃气上逆,['热'],"['心中懊', '呕吐']","['呕吐', '心中懊', '烦躁']"
22,少阳邪热，内迫阳明,['热'],['暂无'],"['泄泻', '呕吐', '便脓血']"
24,邪热壅肺,['热'],"['喘', '咳嗽']","['发热', '喘', '咳嗽']"
25,阳明热盛，充斥内外,['热'],['发热'],"['口渴', '发热']"
26,无形邪热，痞塞心下,['热'],['心下痞'],['心下痞']
34,胃强脾弱,['热'],"['便秘', '大便干']","['尿频数', '大便干', '便秘']"
101,少阴客热烟痛证,['热'],['咽喉痛'],"['咽红', '咽喉痛']"
119,少阴客热，循经上扰,['热'],['咽痛'],['咽喉肿痛']
123,热实内结，腑气不通,['热'],['发热'],"['发热', '便秘', '大便不通']"
127,肝经湿热，下迫大肠,['热'],"['泄泻', '便脓血']","['里急后重', '便脓血', '泄泻', '腹痛']"
240,燥热内盛，腑实初结,['热'],"['大便不通', '腹胀']","['大便不通', '便秘', '烦躁']"
241,少阳邪热，内迫阳明,['热'],"['泄泻', '口苦']","['泄泻', '呕吐', '便脓血']"
21,血热初结，畜于下焦,"['热', '血瘀']","['少腹拒急', '发热']","['少腹拘急', '发狂', '大便色黑']"
21,蓄血证病势较缓,"['热', '血瘀']",['暂无'],"['小便反利', '小腹胀满', '大便色黑']"
26,瘀热互结，病在下焦,"['热', '血瘀']",['少腹拘急'],"['发狂', '脉沉涩', '少腹满']"
22,肾阴虚，心火旺,"['热', '虚']","['不寐', '坐不得卧']","['不寐', '坐不得卧', '烦躁']"
26,余热未尽，津气两伤,"['热', '虚']",['发热'],"['自汗', '发热']"
38,胃热脾寒，寒热相格,"['热', '虚']","['泄泻', '便溏']","['泄泻', '呕吐']"
71,阴寒内盛，格阳于上,"['热', '虚']",['颧红'],"['泄泻', '颧红', '手足厥冷']"
72,阳脱阴竭，寒热格拒,"['热', '虚']","['颧红', '干呕']","['利下不止', '手足厥冷', '烦躁', '颧红']"
78,霍乱吐利，阳亡阴竭,"['热', '虚']","['频繁吐利后利止', '四肢拘挛']","['脉微弱', '频繁吐利后利止', '无脉']"
118,无形邪热，痞塞心下，兼卫阳不足,"['热', '虚']","['心下痞', '自汗', '恶寒']","['心下痞', '畏寒', '自汗']"
123,少阴阴阳两虚，以阳虚为主,"['热', '虚']",['烦躁'],"['手足厥冷', '烦躁']"
123,阴寒内盛，格阳于外,"['热', '虚']","['手足厥冷', '下利清谷']","['发热', '手足厥冷', '下利清谷']"
28,阴虚水热，水热互结,"['热', '虚', '水饮']",['小便不利'],"['口渴', '小便不利', '发热', '烦躁']"
24,阳气内郁，肺热脾寒,"['热', '虚', '寒']",['暂无'],"['利下不止', '咽喉不利', '脓血腥臭痰']"
115,寒热错杂，中焦痞塞，脾胃虚甚,"['热', '虚', '寒']",['心下痞'],"['完谷不化', '心下痞', '泄泻', '食欲减退']"
117,寒热错杂，中焦痞塞,"['热', '虚', '寒']",['心下痞'],"['心下痞', '泄泻', '呕吐', '肠鸣']"
114,寒热错杂，中焦痞塞，兼水饮食滞,"['热', '虚', '寒', '水饮']",['心下痞'],"['心下痞', '呕吐', '苔水滑', '干呕']"
101,痰浊壅阻，咽喉不利,"['热', '痰']","['咽喉溃烂', '咽喉痛']","['咽喉溃烂', '失音']"
123,水热互结， 病位偏上,"['热', '水饮']",['心下痞硬'],"['发热', '心下痞硬']"
123,病后余邪未尽，湿热壅滞，膀胱气化不利,"['热', '水饮']",['下肢肿'],"['脉沉数', '下肢肿', '小便不利']"
26,大病初愈，余热复聚，热郁胸膈，气机痞塞,"['热', '气滞']",['暂无'],"['心中懊', '腹胀', '食欲减退']"
90,邪犯少阳，胆火内郁，枢机不利,"['热', '气滞']",['寒热往来'],"['口苦', '胸胁苦满', '心悸', '寒热往来', '喜呕']"
123,邪入少阳，弥漫三焦，心神逆乱,"['热', '气滞']",['惊恐'],"['身重', '小便不利', '惊恐', '转侧不利']"
126,少阴阴虚，虚火上炎,"['热', '津伤']",['咽喉痛'],"['咽干', '咽喉痛']"
102,上寒下热，蛔虫内扰,"['热', '寒']",['吐蛔'],"['吐蛔', '手足厥冷']"
21,热迫大肠，兼表证不解,"['热', '表']","['泄泻', '喘']","['发热', '喘', '泄泻', '利下不止']"
21,少阳邪热，内迫阳明,"['热', '表']","['泄泻', '便脓血']","['泄泻', '利下不止', '里急后重', '呕吐', '肛门灼热', '便脓血']"
239,少阳邪热，内迫阳明,"['热', '表']","['下利', '口苦']","['里急后重', '利下不止', '肛门灼热']"
101,少阴阳气郁遏不达,['气滞'],['手足厥冷'],"['手足冷', '手足厥冷']"
113,水饮内停，在内影响气机升降，在外阻遏太阳经气,"['气滞', '水饮']",['发热'],"['发热', '小便不利', '颈项强痛']"
241,热扰胸膈，气滞于腹,"['气滞', '热']","['烦躁', '腹胀']","['烦躁', '不寐', '腹胀']"
99,少阳枢机不利，兼太阳营卫不和,"['气滞', '表']","['发热', '微恶寒']","['发热', '微恶寒', '心下支结']"
21,热郁胸膈兼气伤,"['气虚', '表']",['心中懊'],"['心中懊', '不寐', '烦躁']"
116,胃虚，痰阻，气逆,"['气逆', '虚']",['呃逆'],"['嗳气', '呃逆', '心下痞硬']"
206,津伤,['津伤'],,['暂无']
113,胸阳不振，表邪不解,['寒'],['胸闷'],['胸闷']
35,血虚寒凝，兼肝胃沉寒,"['寒', '虚']",['手足厥冷'],"['呕吐', '胃脘痛', '手足厥冷', '胃痛喜温喜按']"
41,中焦虚寒证,"['寒', '虚']",['暂无'],"['泄泻', '腹痛喜温喜按', '腹痛', '呕吐', '喜唾']"
113,胸阳损伤证,"['寒', '虚']",['心悸'],['心悸']
239,胃中有热，腹中有寒，上热下寒,"['寒', '热']","['腹痛', '呕吐']","['呕吐', '腹痛', '欲呕', '便溏']"
23,风寒束表，卫阳被郁，营阴凝滞，肺气失宣,['表'],"['发热', '咳嗽', '喘']","['近期外感', '发热', '喘', '头痛', '无汗']"
110,风寒之邪束表，太阳伤经输不利,['表'],['项背强'],"['发热', '项背强', '无汗']"
112,风寒袭表，卫强营若，经气不利，筋脉失养,['表'],['项背强'],"['项背强', '自汗', '发热', '有汗']"
113,表郁日久，邪轻证轻,['表'],['恶寒发热如虐状'],"['发热', '身痒']"
113,表郁日久，邪微证微,['表'],['恶寒发热如虐状'],"['无汗', '恶寒发热', '烦躁']"
241,风寒外束，兼阳郁化热,['表'],"['发热', '咳嗽', '喘']","['发热', '喘', '无汗', '近期外感']"
113,风寒外袭，营卫不和，肺气上逆,"['表', '营卫不和']","['咳嗽', '喘']","['恶风', '脉浮缓', '发热', '自汗', '喘', '咳嗽']"
241,风寒袭表，卫阳浮盛，卫外不固，营阴外泄,"['表', '营卫不和']","['发热', '自汗', '阵发性发热汗出']","['脉浮缓', '恶风', '头痛', '发热', '自汗']"
113,风寒之邪，初客少阴，正虚不甚,"['表', '虚']",['发热'],"['发热', '脉沉']"
113,邪客少阴，正虚势缓,"['表', '虚']",['发热'],"['发热', '脉沉']"
28,膀胱蓄水证,"['表', '水饮']",['发热'],"['口渴', '小便不利', '水入即吐', '小腹胀满', '发热']"
113,表郁邪轻，外寒内热,"['表', '热']",['发热'],"['热多寒少', '发热', '恶寒发热', '烦躁']"
241,风寒外束，兼阳郁内热,"['表', '热']",['发热'],"['恶风', '发热', '脉浮紧', '无汗', '恶寒', '烦躁']"
241,湿热内阻，风寒外束,"['表', '热', '湿', '湿热']",['身黄'],"['发热', '身黄', '恶寒发热']"
101,寒客咽喉，痰湿凝聚,"['表', '寒']",['咽喉痛'],"['咽痛不红', '痰多']"
44,脾肾阳虚，大肠滑脱,"['病位属性', '寒']","['利下不止', '便脓血']","['便脓血', '苔白', '手足冷', '利下不止']"
77,吐利交作，亡阳脱液,"['病位属性', '寒']",['频繁吐利后利止'],"['畏寒', '频繁吐利后利止', '脉微']"
108,胃中虚寒，浊阴上逆,"['病位属性', '寒']","['呕吐', '头痛']","['头痛', '呕吐', '手足厥冷']"
238,中焦脾虚，气血不足，复被邪扰,"['病位属性', '寒']","['腹痛', '心悸']","['心悸', '腹急痛', '烦躁', '腹痛']"
23,脾阳虚弱，寒湿内阻，表邪不解,"['病位属性', '表']","['泄泻', '近期外感']","['心下痞', '泄泻', '发热', '利下不止']"
113,卫阳不固，阴津不足，兼表证不解,"['病位属性', '表']","['漏汗', '自汗', '恶寒']","['恶风', '自汗', '漏汗']"
113,营卫不和，气营不足，筋脉失养,"['病位属性', '表']",['身痛'],"['脉沉迟', '身痛']"
87,痰热互结，正在心下,"['病位属性', '热']",['心下痞硬'],"['少腹满', '胃按则痛']"